MIN_NUM_WORKERS,aggregation_algorithm,batch_size,best_acc,best_f1,best_loss,best_prec,best_recall,best_round,convnet_hidden1,convnet_hidden2,dataframe_path,dataset_name,dataset_path,device,early_stop_patience,encryption_mode,fedprox_mu,global_epoch,gpu_blacklist,he_backend,heartbeat_interval_hours,heavy_client_threshold,hf_repo_id,image_size,learning_rate,local_epoch,log_dir,model_name,models_percentage,notification_interval,num_classes,num_clients,num_custom_layers,num_images,num_parallel_executions,pc_name,plot_dir,round_timeout,server_join_timeout,server_ready_timeout,server_startup_timeout,splitting_dir,telegram_bot_token,telegram_chat_id,total_duration,weighted_aggregation,worker_id
2,FedAvg,16,0.8137254901960784,0.8140205156136529,0.4218681030998043,0.8240232380577649,0.8137254901960784,2,32,16,C:\Users\dastl\Desktop\Giando\FCGS\results/csv\csv_MSIDomino12\runs\20260604-155907_dataset_ISIC_worker_0.csv,dataset_ISIC,dbluigi/dataset_ISIC/dataset,cuda,5,no_encryption,0.0,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\dastl\Desktop\Giando\FCGS\results/log\log_MSIDomino12\dataset_ISIC_run_0_ConvNet,ConvNet,1,100,2,2,-1,2022,1,,C:\Users\dastl\Desktop\Giando\FCGS\static/plots\plots_MSIDomino12\dataset_ISIC_run_0_ConvNet,1800,300,180,660,C:\Users\dastl\Desktop\Giando\FCGS\results/run_dataset\split_MSIDomino12\dataset_ISIC_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,679.468743801117,True,0
2,FedProx,16,0.803921568627451,0.8040801226150838,0.46953846485007045,0.8072247360482655,0.803921568627451,3,32,16,C:\Users\giand\Desktop\prog\FCGS\results/csv\csv_MSI\runs\20260603-170458_dataset_ISIC_worker_0.csv,dataset_ISIC,dbluigi/dataset_ISIC/dataset,cuda,5,no_encryption,0.05,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\giand\Desktop\prog\FCGS\results/log\log_MSI\dataset_ISIC_run_0_ConvNet,ConvNet,1,100,2,2,-1,2022,2,,C:\Users\giand\Desktop\prog\FCGS\static/plots\plots_MSI\dataset_ISIC_run_0_ConvNet,1800,300,180,660,C:\Users\giand\Desktop\prog\FCGS\results/run_dataset\split_MSI\dataset_ISIC_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,711.0883703231812,True,0
4,FedAvg,16,0.6838235294117647,0.6460006993574767,0.6829377482919132,0.6293523271272632,0.6838235294117647,4,32,16,C:\Users\domin\Desktop\prog\FCGS\results/csv\csv_MSIDomino11\runs\20260604-163801_dataset_multy_sorted_T1_worker_0.csv,dataset_multy_sorted_T1,dataset/dataset_multy_sorted_T1,cuda,5,no_encryption,0.0,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\domin\Desktop\prog\FCGS\results/log\log_MSIDomino11\dataset_multy_sorted_T1_run_0_ConvNet,ConvNet,1,100,3,4,-1,1358,1,,C:\Users\domin\Desktop\prog\FCGS\static/plots\plots_MSIDomino11\dataset_multy_sorted_T1_run_0_ConvNet,1800,300,180,600,C:\Users\domin\Desktop\prog\FCGS\results/run_dataset\split_MSIDomino11\dataset_multy_sorted_T1_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,83.95760011672974,True,0
4,FedProx,16,0.7426470588235294,0.7155087897227856,0.6748145853771883,0.6995046187952764,0.7426470588235294,4,32,16,C:\Users\dastl\Desktop\Giando\FCGS\results/csv\csv_MSIDomino12\runs\20260604-162528_dataset_multy_sorted_T1_worker_0.csv,dataset_multy_sorted_T1,dataset/dataset_multy_sorted_T1,cuda,5,no_encryption,0.05,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\dastl\Desktop\Giando\FCGS\results/log\log_MSIDomino12\dataset_multy_sorted_T1_run_0_ConvNet,ConvNet,1,100,3,4,-1,1358,1,,C:\Users\dastl\Desktop\Giando\FCGS\static/plots\plots_MSIDomino12\dataset_multy_sorted_T1_run_0_ConvNet,1800,300,180,600,C:\Users\dastl\Desktop\Giando\FCGS\results/run_dataset\split_MSIDomino12\dataset_multy_sorted_T1_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,66.10805010795593,True,0
2,FedAvg,16,0.8088235294117647,0.8102671451355662,0.6605794389786965,0.8193530121838946,0.8088235294117647,8,32,16,C:\Users\giand\Desktop\prog\FCGS\csv\csv_Siando\runs\20260530-194718_dataset_multy_sorted_T1_worker_1.csv,dataset_multy_sorted_T1,dataset/dataset_multy_sorted_T1,cuda,5,no_encryption,0.0,10,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\giand\Desktop\prog\FCGS\log\log_Siando\dataset_multy_sorted_T1_run_1_ConvNet,ConvNet,1,100,3,2,-1,1358,2,,C:\Users\giand\Desktop\prog\FCGS\static/plots\plots_Siando\dataset_multy_sorted_T1_run_1_ConvNet,1800,300,180,600,C:\Users\giand\Desktop\prog\FCGS\run_dataset\split_Siando\dataset_multy_sorted_T1_run_1_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,94.49819779396057,True,1
2,FedProx,16,0.8088235294117647,0.8030703337998578,0.5488939596449628,0.8176693683503666,0.8088235294117647,9,32,16,C:\Users\giand\Desktop\prog\FCGS\results/csv\csv_MSI\runs\20260603-171345_dataset_multy_sorted_T1_worker_0.csv,dataset_multy_sorted_T1,dataset/dataset_multy_sorted_T1,cuda,5,no_encryption,0.05,10,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\giand\Desktop\prog\FCGS\results/log\log_MSI\dataset_multy_sorted_T1_run_0_ConvNet,ConvNet,1,100,3,2,-1,1358,2,,C:\Users\giand\Desktop\prog\FCGS\static/plots\plots_MSI\dataset_multy_sorted_T1_run_0_ConvNet,1800,300,180,600,C:\Users\giand\Desktop\prog\FCGS\results/run_dataset\split_MSI\dataset_multy_sorted_T1_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,100.06783652305603,True,0
2,FedAvg,16,0.8308823529411765,0.8255903813079918,0.7216991650707582,0.8448969408244735,0.8308823529411765,3,32,16,C:\Users\giand\Desktop\prog\FCGS\csv\csv_Siando\runs\20260530-194858_dataset_multy_sorted_T1_worker_1.csv,dataset_multy_sorted_T1,dataset/dataset_multy_sorted_T1,cuda,5,no_encryption,0.0,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,5,C:\Users\giand\Desktop\prog\FCGS\log\log_Siando\dataset_multy_sorted_T1_run_1_ConvNet,ConvNet,1,100,3,2,-1,1358,2,,C:\Users\giand\Desktop\prog\FCGS\static/plots\plots_Siando\dataset_multy_sorted_T1_run_1_ConvNet,1800,300,180,600,C:\Users\giand\Desktop\prog\FCGS\run_dataset\split_Siando\dataset_multy_sorted_T1_run_1_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,89.06767463684082,True,1
2,FedProx,16,0.8088235294117647,0.8001349615576702,0.643942604170126,0.8323624904507257,0.8088235294117647,4,32,16,C:\Users\giand\Desktop\prog\FCGS\csv\csv_Siando\runs\20260530-194907_dataset_multy_sorted_T1_worker_0.csv,dataset_multy_sorted_T1,dataset/dataset_multy_sorted_T1,cuda,5,no_encryption,0.05,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,5,C:\Users\giand\Desktop\prog\FCGS\log\log_Siando\dataset_multy_sorted_T1_run_0_ConvNet,ConvNet,1,100,3,2,-1,1358,2,,C:\Users\giand\Desktop\prog\FCGS\static/plots\plots_Siando\dataset_multy_sorted_T1_run_0_ConvNet,1800,300,180,600,C:\Users\giand\Desktop\prog\FCGS\run_dataset\split_Siando\dataset_multy_sorted_T1_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,89.36819291114807,True,0
4,FedAvg,16,0.8676470588235294,0.8679195743416644,0.3363632082062609,0.870385523155131,0.8676470588235294,4,32,16,C:\Users\daisl\Desktop\Giando\FCGS\results/csv\csv_DAIS-RTX-5000-5\runs\20260604-161401_dataset_ISIC_worker_0.csv,dataset_ISIC,dbluigi/dataset_ISIC/dataset,cuda,5,no_encryption,0.0,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\daisl\Desktop\Giando\FCGS\results/log\log_DAIS-RTX-5000-5\dataset_ISIC_run_0_ConvNet,ConvNet,1,100,2,4,-1,2022,2,,C:\Users\daisl\Desktop\Giando\FCGS\static/plots\plots_DAIS-RTX-5000-5\dataset_ISIC_run_0_ConvNet,1800,300,180,660,C:\Users\daisl\Desktop\Giando\FCGS\results/run_dataset\split_DAIS-RTX-5000-5\dataset_ISIC_run_0_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,463.437077999115,True,0
4,FedProx,16,0.8382352941176471,0.8380427120049763,0.4141066362898724,0.8565580499510593,0.8382352941176471,3,32,16,C:\Users\daisl\Desktop\Giando\FCGS\results/csv\csv_DAIS-RTX-5000-5\runs\20260604-161432_dataset_ISIC_worker_1.csv,dataset_ISIC,dbluigi/dataset_ISIC/dataset,cuda,5,no_encryption,0.05,5,[],N/A,4,8,Siando/fcgs-datasets,128,0.001,2,C:\Users\daisl\Desktop\Giando\FCGS\results/log\log_DAIS-RTX-5000-5\dataset_ISIC_run_1_ConvNet,ConvNet,1,100,2,4,-1,2022,2,,C:\Users\daisl\Desktop\Giando\FCGS\static/plots\plots_DAIS-RTX-5000-5\dataset_ISIC_run_1_ConvNet,1800,300,180,660,C:\Users\daisl\Desktop\Giando\FCGS\results/run_dataset\split_DAIS-RTX-5000-5\dataset_ISIC_run_1_ConvNet,8779083388:AAE9m7dlXSm2ql1kYsqcwcNy34pNYUSYFuo,139781098,467.97060537338257,True,1
